Location, Link, Title, Description,Portal?
Alabama,http://portal.gsa.state.al.us/,The Alabama Data PortalMetadata PortalAdvanced Search,"The Alabama Data Portal is currently offline. We apologize for the inconvenience. 
Please contact us at gis@gsa.alabama.gov if you require assistance.Metadata Portal. Home. Launch Map 
Viewer. Advanced Search. LoginÂ ...Find A Place, zoom in zoom out pan. Data must fall completely inside area. 
Launch Map Viewer to Draw Box Get Box already drawn on ViewerÂ ...",yes
Alabama,http://gis.alabama.gov/,GIS Alabama,"Introducing the Alabama Geographic Information Data Portal. This portal is 
designed to provide a variety of geospatial resources to our citizens and staff, in a
Â ...",yes
Alabama,http://serc.carleton.edu/NAGTWorkshops/gis/state_resources.html,State GIS Resources - SERC,"Dec 15, 2013... tabular and vector data via state clearinghouses, university libraries ... 
Alabama Alaska Arizona Arkansas California Colorado ConnecticutÂ ...",yes
Alabama,http://www.gisuser.com/content/view/15961/,Free GIS Data resources for Alabama (Oct 2008) - GISuser,"Oct 28, 2008 ... The Alabama GIS Data portal. Access State data products, National data 
products and access the map viewer http://portal.gsa.state.al.us/",yes
Alabama,http://www.marioncountymaps.com/,Alabama GIS,"Flagship GIS is an Atlanta based company that specializes in Geographical 
Information Systems.",no
Alabama,http://al.water.usgs.gov/infodata/gisdata.html,USGS Alabama Water Science Center - GIS Data,"Jan 15, 2013 ... Provisional Alabama Storm Tide Data ... Spatial/GIS data sets for Alabama are 
available numerous spatial data clearinghouses. ... Data Portals.",yes
Alabama,http://gis.stackexchange.com/questions/48916/decent-alabama-gis-clearinghouse,Decent Alabama GIS Clearinghouse? - GIS StackExchange,"Jan 23, 2013 ... Alabama's data portal (portal.gsa.state.al.us) is down and I haven't come across 
any other GIS clearinghouses for AL that are as good as say,Â ...",no
Massachusetts,http://www.mass.gov/data/,Open data - Mass.Gov,"The Massachusetts Open Data Initiative is working to make public data available 
and accessible to the citizens of the Commonwealth. Our Data Catalog is anÂ ...",yes
Massachusetts,http://public.dep.state.ma.us/fish/Search.aspx?Search=Gis,Massachusetts Fish Mercury Research Data Portal,"Fish Mercury Research Data Portal. Gis Search, Text Search, Additional 
Information, Help. Reset the map. Zooming: 1) Press Shift"" key. 2) Click mouse on map.""",yes
Massachusetts,http://public.dep.state.ma.us/fish/,Fish Mercury Monitoring Program,"The Massachusetts Department of Environmental Protection monitors ... The data 
available through this portal come from the research program, whichÂ ...",yes
Massachusetts,http://matracking.ehs.state.ma.us/,Massachusetts Environmental Public Health Tracking,"Welcome to the Massachusetts Environmental Public Health Tracking ... and 
Prevention to make environmental health data more available to the public and 
policymakers. ... This portal was supported by Cooperative Agreement Number 5
Â ...",yes
Massachusetts,https://data.cityofboston.gov/,City of Boston: Data,"Data Owner. Office of the Mayor Â· Administration & Finance Â· Personal & Labor 
Relations Â· Advocacy & Strategic Investment Â· Public Property Â· EconomicÂ ...",yes
