Location, Link,Title,Description
Alabama,http://portal.gsa.state.al.us/,The Alabama Data PortalMetadata PortalAdvanced Search,"The Alabama Data Portal is currently offline. We apologize for the inconvenience. 
Please contact us at gis@gsa.alabama.gov if you require assistance.Metadata Portal. Home. Launch Map 
Viewer. Advanced Search. LoginÂ ...Find A Place, zoom in zoom out pan. Data must fall completely inside area. 
Launch Map Viewer to Draw Box Get Box already drawn on ViewerÂ ..."
Alabama,http://gis.alabama.gov/,GIS Alabama,"Introducing the Alabama Geographic Information Data Portal. This portal is 
designed to provide a variety of geospatial resources to our citizens and staff, in a
Â ..."
Alabama,http://serc.carleton.edu/NAGTWorkshops/gis/state_resources.html,State GIS Resources - SERC,"Dec 15, 2013... tabular and vector data via state clearinghouses, university libraries ... 
Alabama Alaska Arizona Arkansas California Colorado ConnecticutÂ ..."
Alabama,http://www.gisuser.com/content/view/15961/,Free GIS Data resources for Alabama (Oct 2008) - GISuser,"Oct 28, 2008 ... The Alabama GIS Data portal. Access State data products, National data 
products and access the map viewer http://portal.gsa.state.al.us/"
Alabama,http://al.water.usgs.gov/infodata/gisdata.html,USGS Alabama Water Science Center - GIS Data,"Jan 15, 2013 ... Provisional Alabama Storm Tide Data ... Spatial/GIS data sets for Alabama are 
available numerous spatial data clearinghouses. ... Data Portals."
Alabama,http://guides.lib.purdue.edu/content.php?pid=218799&sid=3692757,US State Data - Guides - Purdue University,"Nov 8, 2013 ... AlabamaView is a consortium formed to promote research, ... Alabama - 
Statewide Data. Census ... Arkansas Geospatial Data Download Portal."
Alabama,http://gis.stackexchange.com/questions/48916/decent-alabama-gis-clearinghouse,Decent Alabama GIS Clearinghouse? - GIS StackExchange,"Jan 23, 2013 ... Alabama's data portal (portal.gsa.state.al.us) is down and I haven't come across 
any other GIS clearinghouses for AL that are as good as say,Â ..."
Alaska,http://www.aoos.org/aoos-data-resources/,Welcome to the AOOS Data Resources Page | Alaska Ocean ...,"Several of these individual data layers can now be integrated into regionally 
based visualization portals (Arctic and Cook Inlet with more to come). To 
downloadÂ ..."
Alaska,http://www.aoos.org/data-portal-updates/,Data Portal and Cyber-infrastructure Updates | Alaska Ocean ...,"In early September, the AOOS data management team released the Gulf of 
Alaska data portal showcasing the research of the EVOS Gulfwatch program."
Alaska,https://vertex.daac.asf.alaska.edu/,Vertex: ASF's Data Portal,"Vertex is the Alaska Satellite Facility's data portal for remotely sensed imagery of 
the earth. The ASF Datapool and the ASF Subsetter offer synthetic apertureÂ ..."
Alaska,https://portal.asf.alaska.edu/,ASF Data Portal,"Wetlands Data Portal at the Alaska Satellite Facility is the best source for 
wetlands information."
Alaska,https://portal.asf.alaska.edu/api/,API - ASF Data Portal,"The Alaska Satellite Facility API is a command-line interface for accessing our 
vast collection of synthetic aperture radar data."
Alaska,http://www.alaskamapped.org/,"Alaska Mapped - Statewide, Broad-scale Imagery and Elevation ...","Mar 11, 2013 ... Alaska Mapped is the data portal for the SDMI delivering broad coverage 
orthoimagery and DEM data for Alaska."
Alaska,http://www.haulinggear.com/wx/aoosdataportal,AOOS Data Portal - Hauling Gear - Commercial Fishing News ...,"Providing timely seafood industry news and weather information for the Alaska 
commercial fishing community. Active on Twitter,Facebook & Google+."
Alaska,https://earthdata.nasa.gov/data/data-centers/asf,Alaska Satellite Facility SAR Data Center (ASF SDC) | EOSDIS ...,"The UAVSAR and AirSAR data products, along with other unrestricted data 
products are available for direct download through Vertex:ASF's Data Portal atÂ ..."
Alaska,http://www.dataone.org/sites/all/documents/DataONEMNDescription_GOA.pdf,Member Node Description: Gulf of Alaska Data Portal - DataONE,"www.dataone.org. Member Node Description: Gulf of Alaska Data Portal. Version 
1.0 1/13/2014 MB Jones. General. Name of resource: Gulf of Alaska DataÂ ..."
Alaska,http://www.gulfwatchalaska.org/monitoring/,Monitoring | Gulf Watch Alaska,"Gulf Watch Alaska is the long-term ecosystem monitoring program of the ... will be 
accessible through the project website and Gulf of Alaska data portal for useÂ ..."
Arizona,https://arcgis2.geo.az.gov/portal/about-agic-data-portal,About the AGIC Data Portal | AGIC Geodata Portal,"About the AGIC Data Portal. The Arizona Geodata Portal is an initiative of the 
Arizona Geographic Information Council. The Portal is designed to provide GISÂ ..."
Arizona,https://arcgis2.geo.az.gov/portal/welcome-agic-geodata-portal,AGIC Geodata Portal - AZ.gov,"We encourage everyone who would like continued access to the data on the 
Portal to register for the AZGEO Clearinghouse. The AGIC Geodata Portal will be
Â ..."
Arizona,https://azgeo.az.gov/,Welcome to the AZGEO Clearinghouse | AZGEO Clearinghouse,"Search for data in the catalog or use the map viewer to explore map services and 
... Clearinghouse is an initiative of the Arizona Geographic Information Council."
Arizona,"http://en.wikipedia.org/wiki/Portal,_Arizona","Portal, Arizona - Wikipedia, the free encyclopedia","Climate data for Portal, Arizona. Month, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, 
Sep, Oct, Nov, Dec, Year. Record high Â°F (Â°C), 77 (25), 76 (24), 85 (29), 92"
Arizona,http://sco.azland.gov/,Arizona State Cartographer's Office,"The AZGEO Portal is an initiative of the Arizona Geographic Information Council 
and is ... The AZGEO Portal was created to provide access to geospatial dataÂ ..."
Arizona,http://www.wrcc.dri.edu/cgi-bin/cliMAIN.pl?azprtl,"PORTAL, ARIZONA - Climate Summary","To print data frame (right side), click on right frame before printing. 1981 - 2010. 
Daily Temp. & Precip. Daily Tabular data (~23 KB) Â· Monthly Tabular data (~1 KB)
Â ..."
Arizona,http://maps.ngmdb.us/dataviewer/,Data Portal - USGS National Geologic Map Database,"Arizona. Idaho. Oregon. Washington. About. Welcome to our Data Portal. It is 
intended to: 1) give you a quick browse and query of our Nation's geologic maps,
Â ..."
Arizona,http://libguides.asu.edu/content.php?pid=117029&sid=1017670,GIS Data Resources - Library Guides - Arizona State University,"Aug 30, 2013 ... Guide to GIS resources available at Arizona State University GIS data ... The 
AGIC Portal was created to provide access to geospatial dataÂ ..."
Arizona,http://www.city-data.com/forum/arizona/1947419-se-arizona-pearce-portal-chirachua-mtns.html,"SE Arizona, Pearce, Portal, Chirachua Mtns. (Phoenix, Tucson: for ...","My husband and I are considering retiring to SE Arizona, specifically ... Portal 
wasn't much at all, I only remember a few buildings and noÂ ..."
Arizona,http://www.arizona-dreaming.com/portal.php,"About Portal, AZ - Arizona-dreaming.com","Arizona Sky Village enjoys an exceptional location with a comfortable year-round 
... Climate Center summarizes the average weather data for Portal, Arizona."
Arkansas,http://www.library.arkansas.gov/libraryDivisions/travelerAccess/Pages/default.aspx,Traveler Portal - Arkansas State Library - State of Arkansas,"Welcome to the Traveler Access page . . . . When you need reliable information, 
go where the experts go. Search Databases: Advanced Search Type a subjectÂ ..."
Arkansas,http://www.arkansas.gov/policies/acceptable-use,Internet Policies - Arkansas.gov,"Information technology products and services include data, voice, and video ... 
The Arkansas.gov web portal is maintained by INA, the Information Network ofÂ ..."
Arkansas,http://www.arkansassiteselection.com/gis-data-download.aspx,Arkansas GIS Data Download - Arkansas Site Selection Center,"Geospatial Data Download Portal. Environment. Get Entire Folder (0.32 MB) Â· 
Geodatabase (0.37 MB). Name, Link, Size in KB. Wildlife Management AreaÂ ..."
Arkansas,https://www.my.af.mil/,AF Portal: Login Page,"Communications using, or data stored on, this IS are not private, are subject to 
routine monitoring, interception, and search, and may be disclosed or used forÂ ..."
Arkansas,http://nces.ed.gov/programs/slds/state.asp?stateabbr=AR,Statewide Longitudinal Data Systems Grant Program - Grantee State ...,"Accelerate Arkansas' current work on data driven decision making (DDDM), 
policy ... implement the Triand Parent Portal, and expand the Triand ID 
generationÂ ..."
Arkansas,http://serc.carleton.edu/NAGTWorkshops/gis/state_resources.html,State GIS Resources - SERC,"Dec 15, 2013... tabular and vector data via state clearinghouses, university libraries ... 
Alabama Alaska Arizona Arkansas California Colorado ConnecticutÂ ..."
Arkansas,http://www.arktimes.com/arkansas/open-data-to-do-list-for-arkansas/Content?oid=3187218,Open data to-do list for Arkansas | Cover Stories | Arkansas news ...,"Jan 23, 2014 ... The state needs one data portal. To me, everybody just thinks of government as 
government and they really don't differentiate between city,Â ..."
Arkansas,http://www.idrivearkansas.com/policies/acceptable-use,Acceptable Use | Arkansas State Highway and Transportation ...,"AHTD makes no guarantee the LIVE TRAFFIC and WEATHER RADAR features 
of the portal are in real-time at all times. Because this data is provided by thirdÂ ..."
Arkansas,http://en.wikipedia.org/wiki/Portal:Arkansas,"Portal:Arkansas - Wikipedia, the free encyclopedia","Portal:Arkansas ... The Arkansas Portal .... Geographical coordinates: Arkansas 
articles missing geocoordinate data Â· Infobox: Arkansas articles needingÂ ..."
Arkansas,http://www.paymentinitiative.org/referenceMaterials/Documents/AHCPII%20Provider%20Portal%20FAQs%204-2013.pdf,PROVIDER PORTAL What is the provider portal? The Arkansas ...,"Apr 2, 2013 ... The Arkansas Health Care Payment Improvement provider portal is an online tool 
that has two ... metrics data for patients they have treated."
California,https://nrm.dfg.ca.gov/,Data Portal - State of California,"CDFW California. Not logged in: Login. State of California Website California 
Department ... The California Department of Fish and Wildlife's (CDFW) Data 
PortalÂ ..."
California,http://portal.gis.ca.gov/,Cal-Atlas,"The California Geoportal provides easy and convenient ways to discover and 
share geospatial data resources. Learn more about us >>Â ..."
California,https://www.data.gov/open-gov/,Open Government | Data.gov,"Since his first full day in office, President Obama has prioritized making 
government more open and accountable and has taken substantial steps to 
increaseÂ ..."
California,https://data.oaklandnet.com/,City of Oakland | data.oaklandnet.com,"The Oakland Police Department provides crime data to the public through the 
City of Oakland's Crime Watch web site. This site presents the data in aÂ ..."
California,http://www.cawaterquality.net/,The California Water Quality Web Portal - hosted by the Surface ...,"This web portal, supported by a wide variety of public and private organizations, 
presents California water quality monitoring data and assessment informationÂ ..."
California,http://www.ci.pasadena.ca.us/CityGIS/Data/,"GIS Data Portal - DoIT - City of Pasadena, California","Pasadena GIS Data Portal. Link to Maps page: http://cityofpasadena.net/citygis/
maps/. The table below provides access to GIS data for the City of Pasadena."
California,http://www2.casas.org/dataportal/index.cfm?fuseaction=dataPortal.wia,CASAS Data Portal,"This WIA Title II database contains information regarding California's WIA Title II 
programs â€” English as a Second Language (ESL), Adult Basic Education (ABE)
Â ..."
California,http://www.cdlib.org/cdlinfo/2012/07/23/portal-for-earth-science-data-exploration/,Portal for Earth Science Data Exploration: California Digital Library,"Jul 23, 2012 ... As research in the Earth and environmental sciences evolves to become more 
data-intensive, the ability to discover, integrate and analyzeÂ ..."
California,http://civsourceonline.com/2013/07/29/california-common-sense-launches-open-data-portal/,California Common Sense launches open data portal | CivSource,"Jul 29, 2013 ... California Common Sense (CACS) a non-partisan non-profit founded by Stanford 
students and alumni to open government to the public,Â ..."
California,http://cairweb.org/data-exchange-tech-support/,5 Steps to Data Exchange - California Immunization Registry,"CDPH Gateway/IZ Portal â€“ 5 Steps to Data Exchange. In order to meet the 
HITECH 'Meaningful Use' requirements for submission of immunization 
information toÂ ..."
Colorado,https://data.colorado.gov/,Colorado Information Marketplace | data.colorado.govWeb Development CenterData,"2013 Flood Information - Colorado Office of Emergency Management ... A variety 
of data capture techniques were used including drawing on mylar overlays atÂ ...Welcome to Colorado.gov's Web 
Development Center. The purpose of 
theÂ ...Data. Title: Colorado Hospitals (2009) 
Overview: This is a shapefile, stored inÂ ..."
Colorado,http://www.colorado.gov/cs/Satellite/DOLA-Main/CBON/1251595507940,Colorado Department of Local Affairs - GIS Maps and Data,"Colorado.gov: The Official State Web Portal. Text Size ... Interactive Web Maps 
and Data Visualizations. ... GIS Data. Shapefiles with Demographic Information."
Colorado,http://xenon.colorado.edu/portal/,PBO H2O Data Portal : Home - Larson GPS Research Group,"A new snow site for the western slope in Colorado (mc08) has been added. 
Thanks to our colleagues from Mesa County for providing the GPS data to us and 
toÂ ..."
